Tank Name,Statistic,Value,nation
type-2597-chi-ha,Ammo capacity,180,China
type-2597-chi-ha,Potential damage,"12,600",China
type-2597-chi-ha,Shell cost,36,China
type-2597-chi-ha,Top speed (km/h),40,China
type-2597-chi-ha,Reverse speed (km/h),15,China
type-2597-chi-ha,Power (hp),253.75 240,China
type-2597-chi-ha,Power/weight (hp/t),16.08,China
type-2597-chi-ha,Tank traverse (°/sec),33.38,China
type-2597-chi-ha,Effective top speed,,China
type-2597-chi-ha,… hard (km/h),40,China
type-2597-chi-ha,… medium (km/h),40,China
type-2597-chi-ha,… soft (km/h),32.21,China
type-2597-chi-ha,Effective traverse,,China
type-2597-chi-ha,… hard (°/sec),44.91,China
type-2597-chi-ha,… medium (°/sec),40.83,China
type-2597-chi-ha,… soft (°/sec),23.64,China
type-2597-chi-ha,Terrain resistance,,China
type-2597-chi-ha,… hard (rad⁻¹),0.96,China
type-2597-chi-ha,… medium (rad⁻¹),1.05,China
type-2597-chi-ha,… soft (rad⁻¹),1.82,China
type-2597-chi-ha,Gun elevation (°),20,China
type-2597-chi-ha,Gun depression (°),15,China
type-2597-chi-ha,Gun traverse (°/sec),43.75,China
type-2597-chi-ha,Gun traverse range (°),-180 / 180,China
type-2597-chi-ha,Turret traverse (°/sec),31.29,China
type-2597-chi-ha,Hull armor (mm),25 / 25 / 20,China
type-2597-chi-ha,Turret armor (mm),35 / 25 / 25,China
type-2597-chi-ha,Track armor (mm),15,China
type-2597-chi-ha,Health,425,China
type-2597-chi-ha,Engine health,104,China
type-2597-chi-ha,Track health,70,China
type-2597-chi-ha,… repaired,50,China
type-2597-chi-ha,… repair time (sec),10.03,China
type-2597-chi-ha,Ammo rack health,100,China
type-2597-chi-ha,Fuel tank health,125,China
type-2597-chi-ha,Max load (kg),"18,000",China
type-2597-chi-ha,Total weight (kg),"15,780",China
type-2597-chi-ha,Stationary camo (%),16.50 / 4.55,China
type-2597-chi-ha,Moving camo (%),12.36 / 3.41,China
type-2597-chi-ha,View range (m),330,China
type-2597-chi-ha,Radio range (m),443.27,China
type-2597-chi-ha,Fire chance,15%,China
type-2597-chi-ha,Tank cost,"42,000",China
su-76g-ft,DPM,"1,820.51",China
su-76g-ft,Damage,160,China
su-76g-ft,Penetration (mm),128,China
su-76g-ft,… at 500m (mm),111,China
su-76g-ft,Reload time (sec),5.27,China
su-76g-ft,Rate of fire (rnds/min),11.38,China
su-76g-ft,Aim time (sec),2.21,China
su-76g-ft,Dispersion,0.40,China
su-76g-ft,… damaged,0.81,China
su-76g-ft,Dispersion factors,,China
su-76g-ft,… moving (+),0.20,China
su-76g-ft,… tank traverse (+),0.20,China
su-76g-ft,… turret traverse (+),0.10,China
su-76g-ft,… after firing (+),4,China
su-76g-ft,… damaged (×),2,China
su-76g-ft,Damage vs. modules,115,China
su-76g-ft,Caliber (mm),85,China
su-76g-ft,Shell velocity (m/s),792,China
su-76g-ft,Max range (m),720,China
su-76g-ft,Ammo capacity,65,China
su-76g-ft,Potential damage,"10,400",China
su-76g-ft,Shell cost,109,China
su-76g-ft,Top speed (km/h),45,China
su-76g-ft,Reverse speed (km/h),12,China
su-76g-ft,Power (hp),300,China
su-76g-ft,Power/weight (hp/t),25.21,China
su-76g-ft,Tank traverse (°/sec),41.72,China
su-76g-ft,Effective top speed,,China
su-76g-ft,… hard (km/h),45,China
su-76g-ft,… medium (km/h),45,China
su-76g-ft,… soft (km/h),45,China
su-76g-ft,Effective traverse,,China
su-76g-ft,… hard (°/sec),40.37,China
su-76g-ft,… medium (°/sec),34.16,China
su-76g-ft,… soft (°/sec),21.15,China
su-76g-ft,Terrain resistance,,China
su-76g-ft,… hard (rad⁻¹),1.05,China
su-76g-ft,… medium (rad⁻¹),1.25,China
su-76g-ft,… soft (rad⁻¹),2.01,China
su-76g-ft,Gun elevation (°),15,China
su-76g-ft,Gun depression (°),5,China
su-76g-ft,Gun traverse (°/sec),40,China
su-76g-ft,Gun traverse range (°),-15 / 15,China
su-76g-ft,Turret traverse (°/sec),41.72,China
su-76g-ft,Hull armor (mm),25 / 15 / 10,China
su-76g-ft,Turret armor (mm),15 / 10 / 10,China
su-76g-ft,Track armor (mm),15,China
su-76g-ft,Health,380,China
su-76g-ft,Engine health,145,China
su-76g-ft,Track health,80,China
su-76g-ft,… repaired,50,China
su-76g-ft,… repair time (sec),10.03,China
su-76g-ft,Ammo rack health,110,China
su-76g-ft,Fuel tank health,125,China
su-76g-ft,Max load (kg),"14,000",China
su-76g-ft,Total weight (kg),"11,900",China
su-76g-ft,Stationary camo (%),20.12 / 4.79,China
su-76g-ft,Moving camo (%),12.08 / 2.88,China
su-76g-ft,View range (m),300,China
su-76g-ft,Radio range (m),600,China
su-76g-ft,Fire chance,15%,China
su-76g-ft,Tank cost,"135,000",China
m5a1-stuart,DPM,"1,716.12",China
m5a1-stuart,Damage,70,China
m5a1-stuart,Penetration (mm),81,China
m5a1-stuart,… at 500m (mm),69,China
m5a1-stuart,Reload time (sec),2.45,China
m5a1-stuart,Rate of fire (rnds/min),24.52,China
m5a1-stuart,Aim time (sec),2.21,China
m5a1-stuart,Dispersion,0.40,China
m5a1-stuart,… damaged,0.81,China
m5a1-stuart,Dispersion factors,,China
m5a1-stuart,… moving (+),0.18,China
m5a1-stuart,… tank traverse (+),0.18,China
m5a1-stuart,… turret traverse (+),0.12,China
m5a1-stuart,… after firing (+),3.50,China
m5a1-stuart,… damaged (×),2,China
m5a1-stuart,Damage vs. modules,64,China
m5a1-stuart,Caliber (mm),47,China
m5a1-stuart,Shell velocity (m/s),810,China
m5a1-stuart,Max range (m),720,China
m5a1-stuart,Ammo capacity,130,China
m5a1-stuart,Potential damage,"9,100",China
m5a1-stuart,Shell cost,36,China
m5a1-stuart,Top speed (km/h),64.40,China
m5a1-stuart,Reverse speed (km/h),20,China
m5a1-stuart,Power (hp),422.91 400,China
m5a1-stuart,Power/weight (hp/t),26.33,China
m5a1-stuart,Tank traverse (°/sec),39.63,China
m5a1-stuart,Effective top speed,,China
m5a1-stuart,… hard (km/h),64.40,China
m5a1-stuart,… medium (km/h),64.40,China
m5a1-stuart,… soft (km/h),55.68,China
m5a1-stuart,Effective traverse,,China
m5a1-stuart,… hard (°/sec),51.90,China
m5a1-stuart,… medium (°/sec),46.13,China
m5a1-stuart,… soft (°/sec),23.06,China
m5a1-stuart,Terrain resistance,,China
m5a1-stuart,… hard (rad⁻¹),0.77,China
m5a1-stuart,… medium (rad⁻¹),0.86,China
m5a1-stuart,… soft (rad⁻¹),1.73,China
m5a1-stuart,Gun elevation (°),20,China
m5a1-stuart,Gun depression (°),10,China
m5a1-stuart,Gun traverse (°/sec),43.75,China
m5a1-stuart,Gun traverse range (°),-180 / 180,China
m5a1-stuart,Turret traverse (°/sec),50.06,China
m5a1-stuart,Hull armor (mm),28.6 / 28.6 / 25.4,China
m5a1-stuart,Turret armor (mm),44.5 / 31.8 / 31.8,China
m5a1-stuart,Track armor (mm),15,China
m5a1-stuart,Health,520,China
m5a1-stuart,Engine health,104,China
m5a1-stuart,Track health,80,China
m5a1-stuart,… repaired,50,China
m5a1-stuart,… repair time (sec),8.02,China
m5a1-stuart,Ammo rack health,140,China
m5a1-stuart,Fuel tank health,125,China
m5a1-stuart,Max load (kg),"18,000",China
m5a1-stuart,Total weight (kg),"16,059",China
m5a1-stuart,Stationary camo (%),16.30 / 4.50,China
m5a1-stuart,Moving camo (%),16.30 / 4.50,China
m5a1-stuart,View range (m),350,China
m5a1-stuart,Radio range (m),641.44,China
m5a1-stuart,Fire chance,20%,China
m5a1-stuart,Tank cost,"143,000",China
60g-ft,DPM,"2,346.75",China
60g-ft,Damage,180,China
60g-ft,Penetration (mm),145,China
60g-ft,… at 500m (mm),135,China
60g-ft,Reload time (sec),4.60,China
60g-ft,Rate of fire (rnds/min),13.04,China
60g-ft,Aim time (sec),1.63,China
60g-ft,Dispersion,0.36,China
60g-ft,… damaged,0.73,China
60g-ft,Dispersion factors,,China
60g-ft,… moving (+),0.22,China
60g-ft,… tank traverse (+),0.22,China
60g-ft,… turret traverse (+),0.08,China
60g-ft,… after firing (+),4,China
60g-ft,… damaged (×),2,China
60g-ft,Damage vs. modules,115,China
60g-ft,Caliber (mm),85,China
60g-ft,Shell velocity (m/s),793,China
60g-ft,Max range (m),720,China
60g-ft,Ammo capacity,60,China
60g-ft,Potential damage,"10,800",China
60g-ft,Shell cost,170,China
60g-ft,Top speed (km/h),45,China
60g-ft,Reverse speed (km/h),18,China
60g-ft,Power (hp),450,China
60g-ft,Power/weight (hp/t),17.31,China
60g-ft,Tank traverse (°/sec),36.50,China
60g-ft,Effective top speed,,China
60g-ft,… hard (km/h),45,China
60g-ft,… medium (km/h),45,China
60g-ft,… soft (km/h),31.37,China
60g-ft,Effective traverse,,China
60g-ft,… hard (°/sec),45.34,China
60g-ft,… medium (°/sec),35.63,China
60g-ft,… soft (°/sec),23.75,China
60g-ft,Terrain resistance,,China
60g-ft,… hard (rad⁻¹),1.05,China
60g-ft,… medium (rad⁻¹),1.34,China
60g-ft,… soft (rad⁻¹),2.01,China
60g-ft,Gun elevation (°),25,China
60g-ft,Gun depression (°),8,China
60g-ft,Gun traverse (°/sec),40,China
60g-ft,Gun traverse range (°),-15 / 15,China
60g-ft,Turret traverse (°/sec),45.89,China
60g-ft,Hull armor (mm),25 / 20 / 20,China
60g-ft,Turret armor (mm),0 / 0 / 0,China
60g-ft,Track armor (mm),15,China
60g-ft,Health,520,China
60g-ft,Engine health,145,China
60g-ft,Track health,100,China
60g-ft,… repaired,60,China
60g-ft,… repair time (sec),12.03,China
60g-ft,Ammo rack health,130,China
60g-ft,Fuel tank health,150,China
60g-ft,Max load (kg),"29,000",China
60g-ft,Total weight (kg),"26,000",China
60g-ft,Stationary camo (%),12.77 / 3.19,China
60g-ft,Moving camo (%),7.70 / 1.92,China
60g-ft,View range (m),340,China
60g-ft,Radio range (m),600,China
60g-ft,Fire chance,15%,China
60g-ft,Tank cost,"365,000",China
type-t-34,DPM,"2,312.74",China
type-t-34,Damage,85,China
type-t-34,Penetration (mm),112,China
type-t-34,… at 500m (mm),98,China
type-t-34,Reload time (sec),2.21,China
type-t-34,Rate of fire (rnds/min),27.21,China
type-t-34,Aim time (sec),2,China
type-t-34,Dispersion,0.34,China
type-t-34,… damaged,0.68,China
type-t-34,Dispersion factors,,China
type-t-34,… moving (+),0.22,China
type-t-34,… tank traverse (+),0.22,China
type-t-34,… turret traverse (+),0.10,China
type-t-34,… after firing (+),4,China
type-t-34,… damaged (×),2,China
type-t-34,Damage vs. modules,76,China
type-t-34,Caliber (mm),57,China
type-t-34,Shell velocity (m/s),990,China
type-t-34,Max range (m),720,China
type-t-34,Ammo capacity,120,China
type-t-34,Potential damage,"10,200",China
type-t-34,Shell cost,56,China
type-t-34,Top speed (km/h),55,China
type-t-34,Reverse speed (km/h),20,China
type-t-34,Power (hp),528.64 500,China
type-t-34,Power/weight (hp/t),18.33,China
type-t-34,Tank traverse (°/sec),43.81,China
type-t-34,Effective top speed,,China
type-t-34,… hard (km/h),55,China
type-t-34,… medium (km/h),53.65,China
type-t-34,… soft (km/h),33.21,China
type-t-34,Effective traverse,,China
type-t-34,… hard (°/sec),45.43,China
type-t-34,… medium (°/sec),38.44,China
type-t-34,… soft (°/sec),23.79,China
type-t-34,Terrain resistance,,China
type-t-34,… hard (rad⁻¹),1.05,China
type-t-34,… medium (rad⁻¹),1.25,China
type-t-34,… soft (rad⁻¹),2.01,China
type-t-34,Gun elevation (°),25,China
type-t-34,Gun depression (°),5,China
type-t-34,Gun traverse (°/sec),43.75,China
type-t-34,Gun traverse range (°),-180 / 180,China
type-t-34,Turret traverse (°/sec),48,China
type-t-34,Hull armor (mm),45 / 40 / 40,China
type-t-34,Turret armor (mm),52 / 52 / 45,China
type-t-34,Track armor (mm),20,China
type-t-34,Health,590,China
type-t-34,Engine health,145,China
type-t-34,Track health,100,China
type-t-34,… repaired,60,China
type-t-34,… repair time (sec),12.03,China
type-t-34,Ammo rack health,130,China
type-t-34,Fuel tank health,150,China
type-t-34,Max load (kg),"32,000",China
type-t-34,Total weight (kg),"28,848",China
type-t-34,Stationary camo (%),14.42 / 3.84,China
type-t-34,Moving camo (%),10.83 / 2.88,China
type-t-34,View range (m),350,China
type-t-34,Radio range (m),547.57,China
type-t-34,Fire chance,15%,China
type-t-34,Tank cost,"430,000",China
wz-131g-ft,DPM,"1,955.63",China
wz-131g-ft,Damage,250,China
wz-131g-ft,Penetration (mm),181,China
wz-131g-ft,… at 500m (mm),160,China
wz-131g-ft,Reload time (sec),7.67,China
wz-131g-ft,Rate of fire (rnds/min),7.82,China
wz-131g-ft,Aim time (sec),1.92,China
wz-131g-ft,Dispersion,0.35,China
wz-131g-ft,… damaged,0.69,China
wz-131g-ft,Dispersion factors,,China
wz-131g-ft,… moving (+),0.21,China
wz-131g-ft,… tank traverse (+),0.21,China
wz-131g-ft,… turret traverse (+),0.12,China
wz-131g-ft,… after firing (+),4,China
wz-131g-ft,… damaged (×),2,China
wz-131g-ft,Damage vs. modules,135,China
wz-131g-ft,Caliber (mm),100,China
wz-131g-ft,Shell velocity (m/s),900,China
wz-131g-ft,Max range (m),720,China
wz-131g-ft,Ammo capacity,40,China
wz-131g-ft,Potential damage,"10,000",China
wz-131g-ft,Shell cost,252,China
wz-131g-ft,Top speed (km/h),50,China
wz-131g-ft,Reverse speed (km/h),18,China
wz-131g-ft,Power (hp),430,China
wz-131g-ft,Power/weight (hp/t),21.50,China
wz-131g-ft,Tank traverse (°/sec),46.93,China
wz-131g-ft,Effective top speed,,China
wz-131g-ft,… hard (km/h),50,China
wz-131g-ft,… medium (km/h),50,China
wz-131g-ft,… soft (km/h),38.97,China
wz-131g-ft,Effective traverse,,China
wz-131g-ft,… hard (°/sec),63.06,China
wz-131g-ft,… medium (°/sec),49.54,China
wz-131g-ft,… soft (°/sec),33.03,China
wz-131g-ft,Terrain resistance,,China
wz-131g-ft,… hard (rad⁻¹),1.05,China
wz-131g-ft,… medium (rad⁻¹),1.34,China
wz-131g-ft,… soft (rad⁻¹),2.01,China
wz-131g-ft,Gun elevation (°),15,China
wz-131g-ft,Gun depression (°),5,China
wz-131g-ft,Gun traverse (°/sec),30,China
wz-131g-ft,Gun traverse range (°),-12 / 12,China
wz-131g-ft,Turret traverse (°/sec),41.72,China
wz-131g-ft,Hull armor (mm),35 / 20 / 20,China
wz-131g-ft,Turret armor (mm),0 / 0 / 0,China
wz-131g-ft,Track armor (mm),15,China
wz-131g-ft,Health,620,China
wz-131g-ft,Engine health,145,China
wz-131g-ft,Track health,120,China
wz-131g-ft,… repaired,60,China
wz-131g-ft,… repair time (sec),12.03,China
wz-131g-ft,Ammo rack health,140,China
wz-131g-ft,Fuel tank health,150,China
wz-131g-ft,Max load (kg),"23,000",China
wz-131g-ft,Total weight (kg),"20,000",China
wz-131g-ft,Stationary camo (%),23.20 / 5.10,China
wz-131g-ft,Moving camo (%),13.91 / 3.06,China
wz-131g-ft,View range (m),350,China
wz-131g-ft,Radio range (m),600,China
wz-131g-ft,Fire chance,15%,China
wz-131g-ft,Tank cost,"910,000",China
type-58,DPM,"2,086",China
type-58,Damage,160,China
type-58,Penetration (mm),144,China
type-58,… at 500m (mm),125,China
type-58,Reload time (sec),4.60,China
type-58,Rate of fire (rnds/min),13.04,China
type-58,Aim time (sec),1.92,China
type-58,Dispersion,0.35,China
type-58,… damaged,0.69,China
type-58,Dispersion factors,,China
type-58,… moving (+),0.22,China
type-58,… tank traverse (+),0.22,China
type-58,… turret traverse (+),0.12,China
type-58,… after firing (+),4,China
type-58,… damaged (×),2,China
type-58,Damage vs. modules,115,China
type-58,Caliber (mm),85,China
type-58,Shell velocity (m/s),792,China
type-58,Max range (m),720,China
type-58,Ammo capacity,60,China
type-58,Potential damage,"9,600",China
type-58,Shell cost,109,China
type-58,Top speed (km/h),55,China
type-58,Reverse speed (km/h),20,China
type-58,Power (hp),549.79 520,China
type-58,Power/weight (hp/t),16.92,China
type-58,Tank traverse (°/sec),43.81,China
type-58,Effective top speed,,China
type-58,… hard (km/h),55,China
type-58,… medium (km/h),55,China
type-58,… soft (km/h),33.89,China
type-58,Effective traverse,,China
type-58,… hard (°/sec),45.11,China
type-58,… medium (°/sec),41.01,China
type-58,… soft (°/sec),23.74,China
type-58,Terrain resistance,,China
type-58,… hard (rad⁻¹),0.96,China
type-58,… medium (rad⁻¹),1.05,China
type-58,… soft (rad⁻¹),1.82,China
type-58,Gun elevation (°),22,China
type-58,Gun depression (°),5,China
type-58,Gun traverse (°/sec),39.38,China
type-58,Gun traverse range (°),-180 / 180,China
type-58,Turret traverse (°/sec),50.06,China
type-58,Hull armor (mm),45 / 45 / 40,China
type-58,Turret armor (mm),90 / 75 / 52,China
type-58,Track armor (mm),20,China
type-58,Health,900,China
type-58,Engine health,190,China
type-58,Track health,120,China
type-58,… repaired,60,China
type-58,… repair time (sec),12.03,China
type-58,Ammo rack health,140,China
type-58,Fuel tank health,150,China
type-58,Max load (kg),"35,000",China
type-58,Total weight (kg),"32,500",China
type-58,Stationary camo (%),13.96 / 3.49,China
type-58,Moving camo (%),10.49 / 2.62,China
type-58,View range (m),370,China
type-58,Radio range (m),547.57,China
type-58,Fire chance,12%,China
type-58,Tank cost,"920,000",China
59-16,DPM,"1,893.87",China
59-16,Damage,115,China
59-16,Penetration (mm),138,China
59-16,… at 500m (mm),117,China
59-16,Reload time (sec),3.64,China
59-16,Rate of fire (rnds/min),16.47,China
59-16,Aim time (sec),1.92,China
59-16,Dispersion,0.38,China
59-16,… damaged,0.77,China
59-16,Dispersion factors,,China
59-16,… moving (+),0.14,China
59-16,… tank traverse (+),0.14,China
59-16,… turret traverse (+),0.12,China
59-16,… after firing (+),3.50,China
59-16,… damaged (×),2,China
59-16,Damage vs. modules,105,China
59-16,Caliber (mm),76,China
59-16,Shell velocity (m/s),700,China
59-16,Max range (m),720,China
59-16,Ammo capacity,45,China
59-16,Potential damage,"5,175",China
59-16,Shell cost,56,China
59-16,Top speed (km/h),60,China
59-16,Reverse speed (km/h),23,China
59-16,Power (hp),450,China
59-16,Power/weight (hp/t),27.77,China
59-16,Tank traverse (°/sec),56.32,China
59-16,Effective top speed,,China
59-16,… hard (km/h),60,China
59-16,… medium (km/h),60,China
59-16,… soft (km/h),60,China
59-16,Effective traverse,,China
59-16,… hard (°/sec),62.81,China
59-16,… medium (°/sec),55.83,China
59-16,… soft (°/sec),31.40,China
59-16,Terrain resistance,,China
59-16,… hard (rad⁻¹),0.77,China
59-16,… medium (rad⁻¹),0.86,China
59-16,… soft (rad⁻¹),1.53,China
59-16,Gun elevation (°),20,China
59-16,Gun depression (°),5,China
59-16,Gun traverse (°/sec),39.38,China
59-16,Gun traverse range (°),-180 / 180,China
59-16,Turret traverse (°/sec),50.06,China
59-16,Hull armor (mm),30 / 20 / 20,China
59-16,Turret armor (mm),45 / 30 / 20,China
59-16,Track armor (mm),15,China
59-16,Health,670,China
59-16,Engine health,190,China
59-16,Track health,120,China
59-16,… repaired,60,China
59-16,… repair time (sec),12.03,China
59-16,Ammo rack health,140,China
59-16,Fuel tank health,150,China
59-16,Max load (kg),"19,000",China
59-16,Total weight (kg),"16,202",China
59-16,Stationary camo (%),17.38 / 4.29,China
59-16,Moving camo (%),17.38 / 4.29,China
59-16,View range (m),360,China
59-16,Radio range (m),782.25,China
59-16,Fire chance,12%,China
59-16,Tank cost,"900,000",China
t-34-2g-ft,DPM,"2,569.07",China
t-34-2g-ft,Damage,390,China
t-34-2g-ft,Penetration (mm),192,China
t-34-2g-ft,… at 500m (mm),175,China
t-34-2g-ft,Reload time (sec),9.11,China
t-34-2g-ft,Rate of fire (rnds/min),6.59,China
t-34-2g-ft,Aim time (sec),2.88,China
t-34-2g-ft,Dispersion,0.38,China
t-34-2g-ft,… damaged,0.77,China
t-34-2g-ft,Dispersion factors,,China
t-34-2g-ft,… moving (+),0.20,China
t-34-2g-ft,… tank traverse (+),0.20,China
t-34-2g-ft,… turret traverse (+),0.10,China
t-34-2g-ft,… after firing (+),4,China
t-34-2g-ft,… damaged (×),2,China
t-34-2g-ft,Damage vs. modules,165,China
t-34-2g-ft,Caliber (mm),122,China
t-34-2g-ft,Shell velocity (m/s),800,China
t-34-2g-ft,Max range (m),720,China
t-34-2g-ft,Ammo capacity,30,China
t-34-2g-ft,Potential damage,"11,700",China
t-34-2g-ft,Shell cost,"1,025",China
t-34-2g-ft,Top speed (km/h),50,China
t-34-2g-ft,Reverse speed (km/h),16,China
t-34-2g-ft,Power (hp),520,China
t-34-2g-ft,Power/weight (hp/t),16.25,China
t-34-2g-ft,Tank traverse (°/sec),41.72,China
t-34-2g-ft,Effective top speed,,China
t-34-2g-ft,… hard (km/h),50,China
t-34-2g-ft,… medium (km/h),38.65,China
t-34-2g-ft,… soft (km/h),26.89,China
t-34-2g-ft,Effective traverse,,China
t-34-2g-ft,… hard (°/sec),45.20,China
t-34-2g-ft,… medium (°/sec),33.90,China
t-34-2g-ft,… soft (°/sec),23.58,China
t-34-2g-ft,Terrain resistance,,China
t-34-2g-ft,… hard (rad⁻¹),1.15,China
t-34-2g-ft,… medium (rad⁻¹),1.53,China
t-34-2g-ft,… soft (rad⁻¹),2.21,China
t-34-2g-ft,Gun elevation (°),15,China
t-34-2g-ft,Gun depression (°),5,China
t-34-2g-ft,Gun traverse (°/sec),25,China
t-34-2g-ft,Gun traverse range (°),-12 / 12,China
t-34-2g-ft,Turret traverse (°/sec),31.29,China
t-34-2g-ft,Hull armor (mm),70 / 45 / 45,China
t-34-2g-ft,Turret armor (mm),0 / 0 / 0,China
t-34-2g-ft,Track armor (mm),20,China
t-34-2g-ft,Health,800,China
t-34-2g-ft,Engine health,190,China
t-34-2g-ft,Track health,130,China
t-34-2g-ft,… repaired,70,China
t-34-2g-ft,… repair time (sec),10.03,China
